index,secID,ticker,secShortName,exchangeCD,tradeDate,preClosePrice,openPrice,highestPrice,lowestPrice,closePrice,turnoverVol
390,000908.XSHE,908,景峰医药,XSHE,2017/12/1,6.33,6.26,6.31,6.21,6.27,3503337
391,000909.XSHE,909,数源科技,XSHE,2017/12/1,11.35,11.38,11.5,11.35,11.44,1014962
392,000910.XSHE,910,大亚圣象,XSHE,2017/12/1,21.88,21.83,22.75,21.53,22.46,4920648
393,000911.XSHE,911,南宁糖业,XSHE,2017/12/1,9.17,9.2,9.25,9.15,9.23,1356226
394,000912.XSHE,912,泸天化,XSHE,2017/12/1,8.16,8.11,8.21,7.82,7.94,15109721
395,000913.XSHE,913,钱江摩托,XSHE,2017/12/1,20.02,20.2,20.5,19.8,20.47,2281111
396,000915.XSHE,915,山大华特,XSHE,2017/12/1,30.9,30.83,31.18,30.54,30.98,1980067
397,000916.XSHE,916,华北高速,XSHE,2017/12/1,7.36,7.41,8.1,7.41,8.1,38621575
398,000917.XSHE,917,电广传媒,XSHE,2017/12/1,9.38,9.33,9.52,9.32,9.42,11242100
399,000918.XSHE,918,嘉凯城,XSHE,2017/12/1,7.09,7.04,7.17,7,7.09,5150746
400,000919.XSHE,919,金陵药业,XSHE,2017/12/1,8.94,8.95,9.06,8.91,9.02,1703000
401,000920.XSHE,920,南方汇通,XSHE,2017/12/1,10.31,10.31,10.44,10.23,10.43,2181174
402,000921.XSHE,921,海信科龙,XSHE,2017/12/1,14.03,13.99,14.26,13.85,14.12,4688199
403,000922.XSHE,922,*ST佳电,XSHE,2017/12/1,7.97,7.92,8.04,7.88,8,2006588
404,000923.XSHE,923,河北宣工,XSHE,2017/12/1,23.37,23.49,23
